Time (UTC),Time (Local),Name,Unit,Quantity,Mass (g),Ingredients,Calories (kcal),Carbs (g),Fat (g),Protein (g),Saturated Fat (g),Trans Fat (g),Monounsaturated Fat (g),Polyunsaturated Fat (g),Cholesterol (mg),Sodium (mg),Fiber (g),Sugar (g),Sugar Added (g),Vitamin D (mg),Calcium (mg),Iron (mg),Potassium (mg),Vitamin A (IU),Vitamin C (mg),Alcohol (g),Sugar Alcohol (g),Vitamin B12 (µg),Vitamin B12 Added (µg),Vitamin B6 (mg),Vitamin E (mg),Vitamin E Added (mg),Magnesium (mg),Phosphorus (mg),Iodine (µg)
2025-07-27T22:38:34.000Z,2025-07-27T18:38:34,"pork chop","chop without refuse",1,157,"null",328.13,0,17.3642,40.2077,5.5233,0.168,6.6254,2.1336,131.88,86.35,0,0,0,47.1,37.68,1.2403,540.08,9.42,0,0,0,0.9263,0,1.0503,0,0,39.25,345.4,0
2025-07-27T22:38:34.000Z,2025-07-27T18:38:34,"watermelon","cup",0.5,76.5,"null",22.95,5.7758,0.1148,0.4667,0.0122,0,0.0283,0.0383,0,0.765,0.306,4.743,0,0,5.355,0.1836,85.68,435.285,6.1965,0,0,0,0,0.0344,0,0,7.65,8.415,0
2025-07-27T20:20:27.000Z,2025-07-27T16:20:27,"blackberries","bowl",1,288,"null",123.84,27.6768,1.4112,4.0032,0.0403,0,0.1354,0.8064,0,2.88,15.264,14.0544,0,0,83.52,1.7856,466.56,616.32,60.48,0,0,0,0,0.0864,0,0,57.6,63.36,0
2025-07-27T20:20:27.000Z,2025-07-27T16:20:27,"popcorn","bowl",1,15.8,"null",88.006,8.7153,5.3752,1.185,1.1401,1.5487,3.3406,0.3779,0,120.712,1.58,0.0869,0,0,3.16,0.2923,37.92,35.234,0.0158,0,0,0,0,0.0446,0,0,14.852,39.658,0
2025-07-27T16:55:00.000Z,2025-07-27T12:55:00,"butter beans","cup",1,188,"null",216.2,39.2544,0.7144,14.664,0.1673,0,0.0639,0.3215,0,3.76,13.16,5.452,0,0,31.96,4.4932,955.04,0,0,0,0,0,0,0.3027,0,0,80.84,208.68,0
2025-07-27T16:55:00.000Z,2025-07-27T12:55:00,"red peppers","pepper",1,114,"null",31.92,7.638,0.228,1.0488,0.0331,0,0.0148,0.1208,0,2.28,1.368,5.0046,0,0,10.26,0.5244,189.24,3352.74,194.94,0,0,0,0,0.2656,0,0,11.4,20.52,0
2025-07-27T16:55:00.000Z,2025-07-27T12:55:00,"vegetable dip","tablespoons",2,30,"null",87.779,0.7416,9.2958,0.5356,3.2472,0.0127,2.229,3.2154,13.9311,344.8035,0.0244,0.6711,0,3.4581,25.6827,0.102,37.232,185.3533,0.9263,0,0,0.0678,0,0.0144,0,0,2.6462,26.5215,0
2025-07-27T16:55:00.000Z,2025-07-27T12:55:00,"chicken wing","wingette or drummette",1,26.79,"null",87.7383,2.6364,6.5091,4.5265,2.3143,0.0637,2.4354,1.2074,21.9538,105.2761,0.1077,0.0649,0,1.1662,5.3302,0.3109,45.8834,112.7358,0.6994,0,0,0.0596,0,0.0734,0,0,4.0566,28.5265,0
2025-07-27T15:14:52.000Z,2025-07-27T11:14:52,"peanut butter","tbsp",2,32,"null",188.16,7.6736,15.8528,7.0176,3.0461,0,6.6323,3.6259,0,152.32,1.824,2.08,0,0,17.28,0.6912,189.44,0,0,0,0,0,0,0.1763,0,0,57.28,107.2,0
2025-07-27T11:25:35.000Z,2025-07-27T07:25:35,"egg","large",1,50,"null",71.5,0.36,4.755,6.28,1.563,0.019,1.829,0.9555,186,71,0,0.185,0,41,28,0.875,69,270,0,0,0,0.445,0,0.085,0,0,6,99,0
2025-07-27T11:25:35.000Z,2025-07-27T07:25:35,"matcha","tsp",1,2,"null",0.02,0,0,0.0044,0,0,0,0,0,0.02,0,0,0,0,0,0.0004,0.16,0,0.006,0,0,0,0,0.0001,0,0,0.02,0,0
2025-07-27T11:25:35.000Z,2025-07-27T07:25:35,"strawberries","g",90,90,"null",28.8,6.912,0.27,0.603,0.0135,0,0.0387,0.1395,0,0.9,1.8,4.401,0,0,14.4,0.369,137.7,10.8,52.92,0,0,0,0,0.0423,0,0,11.7,21.6,0
2025-07-27T11:25:35.000Z,2025-07-27T07:25:35,"milk","cup",1,244,"null",122,11.712,4.8312,8.052,3.0671,0.2074,1.3664,0.1781,19.52,114.68,0,12.3464,0,119.56,292.8,0.0488,341.6,463.6,0.488,0,0,1.2932,0,0.0927,0,0,26.84,224.48,0
2025-07-27T11:15:39.000Z,2025-07-27T07:15:39,"egg","large",1,50,"null",71.5,0.36,4.755,6.28,1.563,0.019,1.829,0.9555,186,71,0,0.185,0,41,28,0.875,69,270,0,0,0,0.445,0,0.085,0,0,6,99,0
2025-07-26T23:02:05.000Z,2025-07-26T19:02:05,"chicken wings","wingette or drummette",8,214.32,"null",701.9061,21.0911,52.0731,36.2117,18.5145,0.5097,19.4832,9.6594,175.6305,842.2085,0.8615,0.5192,0,9.3295,42.6417,2.4873,367.0672,901.8867,5.5955,0,0,0.4764,0,0.5874,0,0,32.4526,228.2123,0
2025-07-26T23:02:05.000Z,2025-07-26T19:02:05,"radish","medium (3/4" to 1" dia)",1,4.5,"null",0.72,0.153,0.0045,0.0306,0.0014,0,0.0008,0.0022,0,1.755,0.072,0.0837,0,0,1.125,0.0153,10.485,0.315,0.666,0,0,0,0,0.0032,0,0,0.45,0.9,0
2025-07-26T19:14:59.847Z,2025-07-26T15:14:59,"cookie","medium (3" diameter)",0.5,15,"null",73.8,9.804,3.708,0.765,1.2137,0.1026,0.9408,1.2626,0,46.65,0.3,4.935,0,0,3.15,0.837,25.65,0.15,0,0,0,0.0045,0,0.0087,0,0,6.15,16.35,0
2025-07-26T16:07:11.705Z,2025-07-26T12:07:11,"sandwich roll","sandwich roll",1,52,"null",144.04,26.104,2.236,4.472,0.5002,0,1.0197,0.4337,0,298.48,1.664,0.1612,0,0,47.32,1.4092,59.28,0,0,0,0,0,0,0.0203,0,0,10.4,43.68,0
2025-07-26T16:07:11.705Z,2025-07-26T12:07:11,"sliced ham","oz",2,56.7,"null",78.813,0.601,2.8917,12.5761,0.5387,0.0057,1.0915,0.3544,36.288,553.959,0,0.601,0,18.711,2.268,0.4706,195.615,24.381,0,0,0,0.2835,0,0.2393,0,0,12.474,174.636,0
2025-07-26T16:07:11.705Z,2025-07-26T12:07:11,"sliced turkey","oz",2,56.7,"null",63.504,4.3659,1.701,7.6545,0.0669,0,0.3351,0.2098,31.185,680.4,0.2268,2.268,0,0,9.072,1.2474,197.883,4.536,5.67,0,0,0.1247,0,0.1667,0,0,11.34,89.586,0
2025-07-26T16:07:11.705Z,2025-07-26T12:07:11,"lettuce","leaf",1,17,"null",2.89,0.5593,0.051,0.2091,0.0066,0,0.002,0.0272,0,1.36,0.357,0.2023,0,0,5.61,0.1649,41.99,1480.7,0.68,0,0,0,0,0.0126,0,0,2.38,5.1,0
2025-07-26T16:07:11.705Z,2025-07-26T12:07:11,"pickle","slices",2,14,"null",1.68,0.3374,0.042,0.07,0.0111,0,0.0007,0.0171,0,113.26,0.14,0.1498,0,0,7.98,0.0364,16.38,17.5,0.322,0,0,0,0,0.0049,0,0,0.98,2.24,0
2025-07-26T16:07:11.705Z,2025-07-26T12:07:11,"apple","medium",1,182,"null",94.64,25.1342,0.3094,0.4732,0.051,0,0.0127,0.0928,0,1.82,4.368,18.9098,0,0,10.92,0.2184,194.74,98.28,8.372,0,0,0,0,0.0746,0,0,9.1,20.02,0
2025-07-26T16:07:11.705Z,2025-07-26T12:07:11,"mixed salad greens","cup",1,226.8,"null",53.298,11.2304,0.5216,3.2924,0.0748,0,0.0227,0.2563,0,83.538,4.4226,4.8875,0,0,99.792,2.2869,643.734,16562.448,40.446,0,0,0,0,0.2827,0,0,53.298,72.954,0
2025-07-26T16:07:11.705Z,2025-07-26T12:07:11,"cherry tomatoes","cherry",4,68,"null",12.24,2.6452,0.136,0.5984,0.019,0,0.0211,0.0564,0,3.4,0.816,1.7884,0,0,6.8,0.1836,161.16,566.44,9.316,0,0,0,0,0.0544,0,0,7.48,16.32,0
2025-07-26T16:07:11.705Z,2025-07-26T12:07:11,"cucumber","slices",4,222,"null",33.3,8.0586,0.2442,1.443,0.0821,0,0.0111,0.071,0,4.44,1.11,3.7074,0,0,35.52,0.6216,326.34,233.1,6.216,0,0,0,0,0.0888,0,0,28.86,53.28,0
2025-07-26T16:07:11.705Z,2025-07-26T12:07:11,"sunflower seeds","tbsp",1,8,"null",43.68,1.2248,3.984,1.5464,0.4175,0,0.7604,2.6307,0,480.64,0.72,0.2184,0,0,5.6,0.304,68,0.72,0.112,0,0,0,0,0.0643,0,0,10.32,92.4,0
2025-07-26T12:30:33.000Z,2025-07-26T08:30:33,"rye bread","slice, regular",1,32,"null",82.88,15.456,1.056,2.72,0.2003,0,0.4195,0.2557,0,192.96,1.856,1.232,0,0,23.36,0.9056,53.12,2.24,0.128,0,0,0,0,0.024,0,0,12.8,40,0
2025-07-26T12:30:33.000Z,2025-07-26T08:30:33,"butter","tbsp",1,14.2,"null",101.814,0.0085,11.5176,0.1207,7.2943,0.4655,2.985,0.4321,30.53,91.306,0,0.0085,0,0,3.408,0.0028,3.408,354.858,0,0,0,0.0241,0,0.0004,0,0,0.284,3.408,0
2025-07-26T12:30:33.000Z,2025-07-26T08:30:33,"caviar","tbsp",1,16,"null",42.24,0.64,2.864,3.936,0.6496,0,0.741,1.1848,94.08,240,0,0,0,18.72,44,1.9008,28.96,144.8,0,0,0,3.2,0,0.0512,0,0,48,56.96,0
2025-07-26T12:30:33.000Z,2025-07-26T08:30:33,"matcha","g",4,4,"null",0.04,0,0,0.0088,0,0,0,0,0,0.04,0,0,0,0,0,0.0008,0.32,0,0.012,0,0,0,0,0.0002,0,0,0.04,0,0
2025-07-26T01:24:35.000Z,2025-07-25T21:24:35,"taro bubble tea","fl oz",16,575.8,"null",278.2155,67.5564,0.5981,1.1612,0.3733,0,0.1749,0.0328,2.4502,19.0046,0.4515,22.4743,0,12.2511,51.8128,0.8658,105.3959,62.4804,0.3063,0,0,0.1164,0,0.0178,0,0,9.5313,36.5127,0
2025-07-26T01:24:35.000Z,2025-07-25T21:24:35,"fried chicken","piece",1,140,"null",376.6,4.41,20.888,39.984,5.684,0,8.246,4.774,126,117.6,0.14,0,0,8.4,23.8,1.932,327.6,124.6,0,0,0,0.434,0,0.574,0,0,35,267.4,0
2025-07-26T01:24:35.000Z,2025-07-25T21:24:35,"fries","serving medium",1,117,"null",365.04,48.4848,17.2341,4.0131,2.7331,0.0702,6.9837,6.3157,0,245.7,4.446,0.351,0,0,21.06,0.9477,677.43,0,5.499,0,0,0,0,0.4352,0,0,40.95,146.25,0
2025-07-25T22:18:22.000Z,2025-07-25T18:18:22,"pb","tbsp",1,16,"null",94.08,3.8368,7.9264,3.5088,1.523,0,3.3162,1.813,0,76.16,0.912,1.04,0,0,8.64,0.3456,94.72,0,0,0,0,0,0,0.0882,0,0,28.64,53.6,0
2025-07-25T21:40:05.000Z,2025-07-25T17:40:05,"pop","bowls",2,982.4,"null",412.608,101.7766,2.456,0,0,0,0,0,0,29.472,0,97.6506,0,0,9.824,0.1965,49.12,0,0,0,0,0,0,0,0,0,0,88.416,0
2025-07-25T12:45:59.049Z,2025-07-25T08:45:59,"matcha","g",4,4,"null",0.04,0,0,0.0088,0,0,0,0,0,0.04,0,0,0,0,0,0.0008,0.32,0,0.012,0,0,0,0,0.0002,0,0,0.04,0,0
2025-07-25T12:45:59.049Z,2025-07-25T08:45:59,"milk","cup",1,244,"null",122,11.712,4.8312,8.052,3.0671,0.2074,1.3664,0.1781,19.52,114.68,0,12.3464,0,119.56,292.8,0.0488,341.6,463.6,0.488,0,0,1.2932,0,0.0927,0,0,26.84,224.48,0
2025-07-25T12:45:59.049Z,2025-07-25T08:45:59,"strawberries","g",85,85,"null",27.2,6.528,0.255,0.5695,0.0128,0,0.0366,0.1318,0,0.85,1.7,4.1565,0,0,13.6,0.3485,130.05,10.2,49.98,0,0,0,0,0.04,0,0,11.05,20.4,0
2025-07-25T12:20:59.000Z,2025-07-25T08:20:59,"white rice","g",120,120,"null",156,33.804,0.336,3.228,0.0924,0,0.1056,0.0912,0,1.2,0.48,0.06,0,0,12,1.44,42,0,0,0,0,0,0,0.1116,0,0,14.4,51.6,0
2025-07-25T12:20:59.000Z,2025-07-25T08:20:59,"tomatos","medium whole (2-3/5" dia)",1,123,"null",22.14,4.7847,0.246,1.0824,0.0344,0,0.0381,0.1021,0,6.15,1.476,3.2349,0,0,12.3,0.3321,291.51,1024.59,16.851,0,0,0,0,0.0984,0,0,13.53,29.52,0
2025-07-25T12:20:59.000Z,2025-07-25T08:20:59,"eggs","large",3,150,"null",214.5,1.08,14.265,18.84,4.689,0.057,5.487,2.8665,558,213,0,0.555,0,123,84,2.625,207,810,0,0,0,1.335,0,0.255,0,0,18,297,0
2025-07-25T12:20:59.000Z,2025-07-25T08:20:59,"sriracha","tsp",1,6.5,"null",6.045,1.2454,0.0605,0.1255,0,0,0,0,0,138.06,0.143,0.9822,0,0,1.17,0.1066,20.865,167.31,1.7485,0,0,0,0,0.0296,0,0,1.04,2.99,0
2025-07-24T23:59:11.164Z,2025-07-24T19:59:11,"caesar dressing","serving (2 tbsp)",1,30,"null",162.6,0.99,17.355,0.651,2.6367,0,4.0512,9.8571,11.7,362.7,0.15,0.843,0,1.5,14.4,0.324,8.7,10.2,0.09,0,0,0.009,0,0.0075,0,0,0.6,5.7,0
2025-07-24T23:59:11.164Z,2025-07-24T19:59:11,"lamb ribs","rib",1,46,"null",165.14,0,13.7172,9.7152,5.8742,0,5.7592,0.9982,44.62,33.58,0,0,0,0,10.12,0.736,124.66,0,0,0,0,1.0258,0,0.0506,0,0,9.2,76.36,0
2025-07-24T23:59:11.164Z,2025-07-24T19:59:11,"baby kale","cup, chopped",1,130,"null",36.4,7.319,0.52,2.47,0.0676,0,0.039,0.2509,0,29.9,2.6,1.625,0,0,93.6,1.17,296.4,17707.3,53.3,0,0,0,0,0.1794,0,0,23.4,36.4,0
2025-07-24T22:58:09.080Z,2025-07-24T18:58:09,"pop","bowl",1,491.2,"null",206.304,50.8883,1.228,0,0,0,0,0,0,14.736,0,48.8253,0,0,4.912,0.0982,24.56,0,0,0,0,0,0,0,0,0,0,44.208,0
2025-07-24T22:58:09.080Z,2025-07-24T18:58:09,"popcorn","cup",1,7.9,"null",44.003,4.3576,2.6876,0.5925,0.5701,0.7744,1.6703,0.189,0,60.356,0.79,0.0435,0,0,1.58,0.1462,18.96,17.617,0.0079,0,0,0,0,0.0223,0,0,7.426,19.829,0
2025-07-24T19:36:26.958Z,2025-07-24T15:36:26,"chicken breast","g",150,150,"null",247.5,0,5.355,46.53,1.515,0,1.86,1.155,127.5,111,0,0,0,7.5,22.5,1.56,384,31.5,0,0,0,0.51,0,0.9,0,0,43.5,342,0
2025-07-24T19:36:26.958Z,2025-07-24T15:36:26,"orange","fruit (2-7/8" dia)",1,140,"null",68.6,17.556,0.21,1.274,0.0238,0,0.042,0.0434,0,1.4,3.08,11.9,0,0,60.2,0.182,232.4,345.8,82.74,0,0,0,0,0.1106,0,0,15.4,32.2,0
2025-07-24T18:26:17.101Z,2025-07-24T14:26:17,"cracker","cracker",1,4,"null",20.4,2.452,1.0572,0.2656,0.2225,0.043,0.2621,0.5255,0,29.04,0.092,0.3272,0,0,4.8,0.1612,4.72,0,0,0,0,0,0,0.0025,0,0,0.72,9.92,0
2025-07-24T18:26:17.101Z,2025-07-24T14:26:17,"pb","g",32,32,"null",188.16,7.6736,15.8528,7.0176,3.0461,0,6.6323,3.6259,0,152.32,1.824,2.08,0,0,17.28,0.6912,189.44,0,0,0,0,0,0,0.1763,0,0,57.28,107.2,0
2025-07-24T15:00:55.000Z,2025-07-24T11:00:55,"espresso shot","fl oz",1,29.6,"null",2.664,0.4943,0.0533,0.0355,0.0272,0,0,0.0272,0,4.144,0,0,0,0,0.592,0.0385,34.04,0,0.0592,0,0,0,0,0.0006,0,0,23.68,2.072,0
2025-07-24T15:00:55.000Z,2025-07-24T11:00:55,"milk","cup",1,244,"null",122,11.712,4.8312,8.052,3.0671,0.2074,1.3664,0.1781,19.52,114.68,0,12.3464,0,119.56,292.8,0.0488,341.6,463.6,0.488,0,0,1.2932,0,0.0927,0,0,26.84,224.48,0
2025-07-24T15:00:55.000Z,2025-07-24T11:00:55,"honey","g",4,4,"null",12.16,3.296,0,0.012,0,0,0,0,0,0.16,0.008,3.2848,0,0,0.24,0.0168,2.08,0,0.02,0,0,0,0,0.001,0,0,0.08,0.16,0
2025-07-24T13:15:30.000Z,2025-07-24T09:15:30,"matcha","g",4,4,"null",0.04,0,0,0.0088,0,0,0,0,0,0.04,0,0,0,0,0,0.0008,0.32,0,0.012,0,0,0,0,0.0002,0,0,0.04,0,0
2025-07-24T13:15:30.000Z,2025-07-24T09:15:30,"milk","cup",1,244,"null",122,11.712,4.8312,8.052,3.0671,0.2074,1.3664,0.1781,19.52,114.68,0,12.3464,0,119.56,292.8,0.0488,341.6,463.6,0.488,0,0,1.2932,0,0.0927,0,0,26.84,224.48,0
2025-07-24T12:14:51.123Z,2025-07-24T08:14:51,"sour dough bread","slice",1,64,"null",174.08,33.2032,1.5488,6.88,0.3386,0.0032,0.2317,0.5472,0,385.28,1.408,2.9568,0,0,33.28,2.5024,74.88,0.64,0,0,0,0,0,0.0685,0,0,20.48,67.2,0
2025-07-24T12:14:51.123Z,2025-07-24T08:14:51,"avocado","avocado, NS as to Florida or California",0.5,100.5,"null",160.8,8.5727,14.7333,2.01,2.1366,0,9.848,1.8251,0,7.035,6.7335,0.6633,0,0,12.06,0.5528,487.425,146.73,10.05,0,0,0,0,0.2583,0,0,29.145,52.26,0
2025-07-24T12:14:51.123Z,2025-07-24T08:14:51,"eggs fried","large",2,92,"null",180.32,0.7636,13.6528,12.5212,3.9772,0.0377,5.6874,2.9909,368.92,190.44,0,0.368,0,80.96,57.04,1.7388,139.84,724.04,0,0,0,0.8924,0,0.1693,0,0,11.96,197.8,0
2025-07-24T12:14:51.123Z,2025-07-24T08:14:51,"olive oil","tablespoon",1,13.5,"null",119.34,0,13.5,0,1.8641,0,9.8497,1.4206,0,0.27,0,0,0,0,0.135,0.0756,0.135,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-24T12:14:51.123Z,2025-07-24T08:14:51,"pickled onion","pieces",10,1,"null",0.3853,0.09,0.001,0.0106,0.0004,0,0.0001,0.0002,0,14.2498,0.0164,0.0409,0,0,0.2304,0.0021,1.4094,0.0193,0.0713,0,0,0,0,0.0012,0,0,0.0967,0.2794,0
2025-07-24T12:14:51.123Z,2025-07-24T08:14:51,"tomatos","cup",1,164.5,"null",29.61,6.3991,0.329,1.4476,0.0461,0,0.051,0.1365,0,8.225,1.974,4.3264,0,0,16.45,0.4442,389.865,1370.285,22.5365,0,0,0,0,0.1316,0,0,18.095,39.48,0
2025-07-23T23:44:10.441Z,2025-07-23T19:44:10,"spicy crab sushi roll","roll",0.33,63.4557,"null",99.476,8.7244,4.3618,5.7676,0.6791,0.0195,1.0366,2.4765,28.7942,220.3467,0.1586,1.2797,0,0.3176,35.0142,0.3559,88.5964,44.9922,1.3475,0,0,0.9285,0,0.0727,0,0,15.4314,80.4826,0
2025-07-23T23:42:10.417Z,2025-07-23T19:42:10,"mousse","cup",0.25,101,"null",227.25,16.2307,16.16,4.1814,9.2425,0,5.0773,0.8878,141.4,38.38,0.606,14.9581,0,0,96.96,0.5555,144.43,514.09,0.101,0,0,0.4747,0,0.0586,0,0,20.2,118.17,0
2025-07-23T23:30:01.000Z,2025-07-23T19:30:01,"watermelon","wedge (approx 1/16 of melon)",1,286,"null",85.8,21.593,0.429,1.7446,0.0458,0,0.1058,0.143,0,2.86,1.144,17.732,0,0,20.02,0.6864,320.32,1627.34,23.166,0,0,0,0,0.1287,0,0,28.6,31.46,0
2025-07-23T23:30:01.000Z,2025-07-23T19:30:01,"fried pork chops","pork chop",1,139,"null",400.2473,22.4453,22.2173,26.192,4.5116,0.3089,7.6341,7.6572,124.3746,616.6511,1.4667,1.6909,0,36.5168,79.7098,2.5429,358.7662,95.4251,1.1926,0,0,0.694,0,0.5933,0,0,34.9775,253.1477,0
2025-07-23T23:30:01.000Z,2025-07-23T19:30:01,"tomatos","medium whole (2-3/5" dia)",1,123,"null",22.14,4.7847,0.246,1.0824,0.0344,0,0.0381,0.1021,0,6.15,1.476,3.2349,0,0,12.3,0.3321,291.51,1024.59,16.851,0,0,0,0,0.0984,0,0,13.53,29.52,0
2025-07-23T23:30:01.000Z,2025-07-23T19:30:01,"broccolis","floret",2,20,"null",7,1.436,0.082,0.476,0.0158,0,0.008,0.034,0,8.2,0.66,0.278,0,0,8,0.134,58.6,309.6,12.98,0,0,0,0,0.04,0,0,4.2,13.4,0
